id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Jalyn;Yost;Justyn.Schroeder50@gmail.com;yippee wholly anenst;2025-07-04T18:48:03;24214;32079
2;Euna;Lueilwitz;Presley.Klein@gmail.com;whether ew geez;2025-07-05T06:20:34;7576;27120
3;Morton;Larkin;Marina_Dickinson@hotmail.com;lecture;2025-07-04T14:55:45;21996;8081
4;Charlotte;Marks;Conrad51@hotmail.com;qualified like acclaimed;2025-07-04T17:34:05;27322;30980
5;Clair;Anderson;Samanta39@hotmail.com;misreport so briskly;2025-07-04T22:11:25;23230;12977
6;Carter;Swift;Petra79@gmail.com;unlucky lazily unaccountably;2025-07-04T12:13:59;18937;27795
7;Dayton;Stracke-Smitham;Cade_Reichert27@gmail.com;fooey malfunction woot;2025-07-05T03:52:44;7790;24948
8;Wilhelm;Waters;Jade_Pfeffer@hotmail.com;though;2025-07-04T18:23:22;4611;25324
9;Dean;Durgan;Jakob.Wisoky-Littel27@gmail.com;although meh;2025-07-04T18:19:55;30493;24741
10;Jordon;Buckridge;Burdette_Weber31@hotmail.com;optimistically urgently weakly;2025-07-05T07:59:44;18343;6127
